Day,country,cases,rate,pop,infection_rate
1/22/20,Spain,0,0.0,46723749.0,0.0
1/23/20,Spain,0,0.0,46723749.0,0.0
1/24/20,Spain,0,0.0,46723749.0,0.0
1/25/20,Spain,0,0.0,46723749.0,0.0
1/26/20,Spain,0,0.0,46723749.0,0.0
1/27/20,Spain,0,0.0,46723749.0,0.0
1/28/20,Spain,0,0.0,46723749.0,0.0
1/29/20,Spain,0,0.0,46723749.0,0.0
1/30/20,Spain,0,0.0,46723749.0,0.0
1/31/20,Spain,0,0.0,46723749.0,0.0
2/1/20,Spain,1,0.0,46723749.0,0.0021402392175336785
2/2/20,Spain,1,0.0,46723749.0,0.0021402392175336785
2/3/20,Spain,1,0.0,46723749.0,0.0021402392175336785
2/4/20,Spain,1,0.0,46723749.0,0.0021402392175336785
2/5/20,Spain,1,0.0,46723749.0,0.0021402392175336785
2/6/20,Spain,1,0.0,46723749.0,0.0021402392175336785
2/7/20,Spain,1,0.0,46723749.0,0.0021402392175336785
2/8/20,Spain,1,100.0,46723749.0,0.0021402392175336785
2/9/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/10/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/11/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/12/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/13/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/14/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/15/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/16/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/17/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/18/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/19/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/20/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/21/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/22/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/23/20,Spain,2,0.0,46723749.0,0.004280478435067357
2/24/20,Spain,2,200.0,46723749.0,0.004280478435067357
2/25/20,Spain,6,116.66666666666666,46723749.0,0.012841435305202072
2/26/20,Spain,13,15.384615384615387,46723749.0,0.02782310982793782
2/27/20,Spain,15,113.33333333333334,46723749.0,0.03210358826300518
2/28/20,Spain,32,40.625,46723749.0,0.06848765496107771
2/29/20,Spain,45,86.66666666666666,46723749.0,0.09631076478901554
3/1/20,Spain,84,42.85714285714286,46723749.0,0.179780094272829
3/2/20,Spain,120,37.5,46723749.0,0.25682870610404146
3/3/20,Spain,165,34.54545454545453,46723749.0,0.353139470893057
3/4/20,Spain,222,16.66666666666667,46723749.0,0.4751331062924767
3/5/20,Spain,259,54.44015444015443,46723749.0,0.5543219573412228
3/6/20,Spain,400,25.0,46723749.0,0.8560956870134715
3/7/20,Spain,500,34.599999999999994,46723749.0,1.0701196087668394
3/8/20,Spain,673,59.43536404160474,46723749.0,1.4403809934001657
3/9/20,Spain,1073,57.968313140726934,46723749.0,2.296476680413637
3/10/20,Spain,1695,34.3362831858407,46723749.0,3.6277054737195855
3/11/20,Spain,2277,0.0,46723749.0,4.873324698324186
3/12/20,Spain,2277,129.7760210803689,46723749.0,4.873324698324186
3/13/20,Spain,5232,22.152140672782878,46723749.0,11.197731586136207
3/14/20,Spain,6391,22.015334063526836,46723749.0,13.67826883925774
3/15/20,Spain,7798,27.49422928956143,46723749.0,16.689585418327628
3/16/20,Spain,9942,18.165359082679544,46723749.0,21.278258300719834
3/17/20,Spain,11748,18.403132448076263,46723749.0,25.14353032758566
3/18/20,Spain,13910,29.13731128684401,46723749.0,29.77072751589347
3/19/20,Spain,17963,13.62244613928631,46723749.0,38.44511706455747
3/20/20,Spain,20410,24.321411073003432,46723749.0,43.68228242986238
3/21/20,Spain,25374,13.375896587057625,46723749.0,54.30642990569956
3/22/20,Spain,28768,22.135706340378192,46723749.0,61.57040181000887
3/23/20,Spain,35136,13.516051912568301,46723749.0,75.19944514726333
3/24/20,Spain,39885,0.0,46723749.0,85.36344119133078
