Country,Deaths
Afghanistan,1
Albania,2
Algeria,17
Andorra,1
Argentina,4
Australia,7
Austria,16
Azerbaijan,1
Bahrain,2
Bangladesh,2
Belgium,75
Bosnia and Herzegovina,1
Brazil,25
Bulgaria,3
Burkina Faso,4
Canada,21
Chile,1
China,3265
Colombia,2
Congo (Kinshasa),1
Costa Rica,2
Croatia,1
Cruise Ship,8
Cuba,1
Cyprus,1
Czechia,1
Denmark,13
Dominican Republic,3
Ecuador,14
Egypt,14
Finland,1
France,674
Gabon,1
Germany,94
Ghana,1
Greece,15
Guatemala,1
Guyana,1
Hungary,6
Iceland,1
India,7
Indonesia,48
Iran,1685
Iraq,20
Ireland,4
Israel,1
Italy,5476
Jamaica,1
Japan,40
"Korea, South",104
Lebanon,4
Lithuania,1
Luxembourg,8
Malaysia,10
Martinique,1
Mauritius,1
Mexico,2
Moldova,1
Morocco,4
Netherlands,180
North Macedonia,1
Norway,7
Pakistan,5
Panama,3
Paraguay,1
Peru,5
Philippines,25
Poland,7
Portugal,14
Romania,3
San Marino,20
Serbia,2
Singapore,2
Slovakia,1
Slovenia,2
Spain,1772
Sudan,1
Sweden,21
Switzerland,98
Taiwan*,2
Thailand,1
Tunisia,3
Turkey,30
US,417
Ukraine,3
United Arab Emirates,2
United Kingdom,282
