Location;PopTotal
Afghanistan;38041757
Africa;1308064176
African Group;1306320572
African Union;1306903
African Union: Central Africa;154013705
African Union: Eastern Africa;382531219
African Union: Northern Africa;203493226
African Union: Southern Africa;179956492
African Union: Western Africa;386908388
African, Caribbean and Pacific (ACP) Group of States;1150190575
Albania;2880913
Algeria;43053054
American Samoa;55312
Andean Community;111736664
Andorra;77146
Angola;31825299
Anguilla;14872
Antigua and Barbuda;97115
Argentina;44780675
Armenia;2957728
Aruba;106
Asia;4601371266
Asia-Pacific Economic Cooperation (APEC);2956245278
Asia-Pacific Group;4582136259
Association of Southeast Asian Nations (ASEAN);660718726
Australia;25203
Australia/New Zealand;29986262
Austria;8955108
Azerbaijan;10047719
BRIC;3157123227
BRICS;3215681494
Bahamas;389486
Bahrain;1641164
Bangladesh;163046173
Barbados;287021
Belarus;9452409
Belgium;11539326
Belize;390351
Belt-Road Initiative (BRI);3353564722
Belt-Road Initiative: Africa;1164118622
Belt-Road Initiative: Asia;1552928523
Belt-Road Initiative: Europe;414572416
Belt-Road Initiative: Latin America and the Caribbean;206761581
Belt-Road Initiative: Pacific;15183
Benin;11801151
Bermuda;62508
Bhutan;763094
Black Sea Economic Cooperation (BSEC);342832245
Bolivarian Alliance for the Americas (ALBA);58535065
Bolivia (Plurinational State of);11513102
Bonaire, Sint Eustatius and Saba;25983
Bosnia and Herzegovina;3300998
Botswana;2303703
Brazil;211049519
British Virgin Islands;30033
Brunei Darussalam;433296
Bulgaria;7000117
Burkina Faso;20321383
Burundi;11530577
Cabo Verde;549936
Cambodia;16486542
Cameroon;25876387
Canada;37411038
Caribbean;43335006
Caribbean Community and Common Market (CARICOM);18669459
Cayman Islands;64948
Central African Republic;4745179
Central America;177586525
Central Asia;73212111
Central European Free Trade Agreement (CEFTA);25839142
Central and Southern Asia;1991423507
Chad;15946882
Channel Islands;172264
Chile;18952035
China;1433783692
China (and dependencies);1465634176
China, Hong Kong SAR;7436157
China, Macao SAR;640446
China, Taiwan Province of China;23773881
Colombia;50339443
Commonwealth of Independent States (CIS);289579128
Commonwealth of Nations;2529752075
Commonwealth: Africa;569747835
Commonwealth: Asia;1805540408
Commonwealth: Caribbean and Americas;44231064
Commonwealth: Europe;69169112
Commonwealth: Pacific;41063656
Comoros;850891
Congo;5380504
Cook Islands;17547
Costa Rica;5047561
Countries with Access to the Sea;7130128743
Countries with Access to the Sea: Africa;975801688
Countries with Access to the Sea: Asia;4437345
Countries with Access to the Sea: Europe;678689328
Countries with Access to the Sea: Latin America and the Caribbean;629563215
Countries with Access to the Sea: Northern America;366600944
Countries with Access to the Sea: Oceania;42128048
Croatia;4130299
Cuba;11333484
Curaçao;163423
Cyprus;1198574
Czechia;10689213
Côte d'Ivoire;25716554
Dem. People's Republic of Korea;25666158
Democratic Republic of the Congo;86790568
Denmark;5771877
Denmark (and dependencies);5877214
Djibouti;973557
Dominica;71808
Dominican Republic;10738957
ECE: North America-2;366475955
ECE: UNECE-52;1296492596
ECLAC: Latin America;636072786
ECLAC: The Caribbean;12044798
ESCAP region: East and North-East Asia;1648837239
ESCAP region: North and Central Asia;236086
ESCAP region: Pacific;42115282
ESCAP region: South and South-West Asia;2001641003
ESCAP region: South-East Asia;662011846
ESCAP: ADB Developing member countries (DMCs);4029580432
ESCAP: ADB Group A (Concessional assistance only);162966739
ESCAP: ADB Group B (OCR blend);1792323367
ESCAP: ADB Group C (Regular OCR only);2074290326
ESCAP: ASEAN;660718726
ESCAP: Central Asia;90214
ESCAP: ECO;504210404
ESCAP: HDI groups;4590692
ESCAP: Landlocked countries (LLDCs);164025746
ESCAP: Least Developed Countries (LDCs);310553245
ESCAP: Pacific island dev. econ.;12129
ESCAP: SAARC;1835297503
ESCAP: WB High income econ.;223183438
ESCAP: WB Low income econ.;92317
ESCAP: WB Lower middle income econ.;2387495225
ESCAP: WB Upper middle income econ.;1887677496
ESCAP: WB income groups;4590672789
ESCAP: high HDI;222610632
ESCAP: high income;222836176
ESCAP: income groups;4590692
ESCAP: low HDI;1911735616
ESCAP: low income;2073030029
ESCAP: lower middle HDI;2057885279
ESCAP: lower middle income;580268276
ESCAP: other Asia-Pacific countries/areas;197481
ESCAP: upper middle HDI;398460423
ESCAP: upper middle income;1714557469
ESCWA: Arab countries;428166389
ESCWA: Arab least developed countries;93768211
ESCWA: Gulf Cooperation Council countries;57694359
ESCWA: Maghreb countries;97996994
ESCWA: Mashreq countries;178706825
ESCWA: member countries;367845981
East African Community (EAC);190068644
Eastern Africa;433904943
Eastern Asia;1672611
Eastern Europe;293444921
Eastern European Group;340313688
Eastern and South-Eastern Asia;2334622966
Economic Community of Central African States (ECCAS);198465942
Economic Community of West African States (ECOWAS);386908388
Economic Cooperation Organization (ECO);504210404
Ecuador;17373657
Egypt;100388076
El Salvador;6454
Equatorial Guinea;1355982
Eritrea;3497117
Estonia;1325649
Eswatini;1148133
Ethiopia;112078727
Eurasian Economic Community (Eurasec);222594686
Europe;747182815
Europe;747182815
Europe (48);747182815
Europe and Northern America;1113783759
European Community (EC: 12);384069996
European Free Trade Agreement (EFTA);14347277
European Union (EU: 15);408593654
European Union (EU: 28);512516929
Falkland Islands (Malvinas);3372
Faroe Islands;48677
Fiji;889955
Finland;5532159
France;65129731
France (and dependencies);67978398
French Guiana;290823
French Polynesia;279285
Gabon;2172578
Gambia;2347696
Georgia;3996762
Germany;83517046
Ghana;30417858
Gibraltar;33706
Greater Arab Free Trade Area (GAFTA);406373337
Greece;10473452
Greenland;57
Grenada;112002
Group of 77 (G77);6060094962
Group of Eight (G8);915935544
Group of Seven (G7);770063284
Group of Twenty (G20) - member states;4622853206
Guadeloupe;400048
Guam;167295
Guatemala;17581476
Guinea;12771246
Guinea-Bissau;1920917
Gulf Cooperation Council (GCC);57694359
Guyana;782775
Haiti;11263079
High-income countries;1258043484
Holy See;1
Honduras;9746115
Hungary;9685
Iceland;339037
India;1366417756
Indonesia;270625567
Iran (Islamic Republic of);82913893
Iraq;39309789
Ireland;4882498
Isle of Man;84589
Israel;8519373
Italy;60550092
Jamaica;2948277
Japan;126860299
Jordan;10101697
Kazakhstan;18551428
Kenya;52573967
Kiribati;117608
Kuwait;4207077
Kyrgyzstan;6415851
LLDC: Africa;332262488
LLDC: Asia;164025746
LLDC: Europe;6126716
LLDC: Latin America;18557741
Land-locked Countries;583340277
Land-locked Countries (Others);62367586
Land-locked Developing Countries (LLDC);520972691
Lao People's Democratic Republic;7169456
Latin America and the Caribbean;648120956
Latin America and the Caribbean;648120956
Latin American Integration Association (ALADI);568696545
Latin American and Caribbean Group (GRULAC);643474175
Latvia;1907
League of Arab States (LAS, informal name: Arab League);428166389
Least developed countries;1033388868
Least developed: Africa;682410622
Least developed: Asia;338616201
Least developed: Latin America and the Caribbean;11263079
Least developed: Oceania;1098966
Lebanon;6855709
Lesotho;2125267
Less developed regions;6442837885
Less developed regions, excluding China;4977203709
Less developed regions, excluding least developed countries;5409449017
Less developed: Africa;1308064176
Less developed: Asia;4474510967
Less developed: Latin America and the Caribbean;648120956
Less developed: Oceania;12141786
Liberia;4937374
Libya;6777453
Liechtenstein;38
Lithuania;2759631
Low-income countries;755849741
Lower-middle-income countries;3057708884
Luxembourg;616
Madagascar;26969306
Malawi;18628749
Malaysia;31949789
Maldives;530957
Mali;19658023
Malta;440377
Marshall Islands;58791
Martinique;375557
Mauritania;4525698
Mauritius;1270
Mayotte;266153
Melanesia;10918534
Mexico;127575529
Micronesia;543483
Micronesia (Fed. States of);113811
Middle Africa;174308427
Middle-income countries;5696667314
Monaco;38967
Mongolia;3225166
Montenegro;627988
Montserrat;4991
More developed regions;1270630
More developed: Asia;126860299
More developed: Europe;747182815
More developed: Northern America;366600944
More developed: Oceania;29986262
Morocco;36471766
Mozambique;30366043
Myanmar;54045422
Namibia;2494524
Nauru;10764
Nepal;28608715
Netherlands;17097123
Netherlands (and dependencies);17435228
New Caledonia;282757
New EU member states (joined since 2004);103923275
New Zealand;4783062
New Zealand (and dependencies);4803553
Nicaragua;6545503
Niger;23310719
Nigeria;200963603
Niue;1614
No income group available;2907666
Non-Self-Governing Territories;1731701
North American Free Trade Agreement (NAFTA);494051484
North Atlantic Treaty Organization (NATO);940604181
North Macedonia;2083458
Northern Africa;241780765
Northern Africa and Western Asia;517105558
Northern America;366600944
Northern America;366600944
Northern Europe;105768532
Northern Mariana Islands;57213
Norway;5378859
Oceania;42128048
Oceania (excluding Australia and New Zealand);12141786
Oman;4974992
Organisation for Economic Co-operation and Development (OECD);1307716642
Organization for Security and Co-operation in Europe (OSCE);1291387201
Organization of American States (OAS);1009950
Organization of Petroleum Exporting countries (OPEC);507887773
Organization of the Islamic Conference (OIC);1872842323
Pakistan;216565317
Palau;18001
Panama;4246
Papua New Guinea;8776119
Paraguay;7044639
Peru;32510462
Philippines;108116622
Poland;37887771
Polynesia;679769
Portugal;10226178
Puerto Rico;2933404
Qatar;2832071
Republic of Korea;51225321
Republic of Moldova;4043258
Romania;19364558
Russian Federation;145872
Rwanda;12626938
Réunion;888932
SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS);15990784
SIDS Caribbean;43309023
SIDS Pacific;12129
Saint Barthélemy;9853
Saint Helena;6061
Saint Kitts and Nevis;52834
Saint Lucia;182795
Saint Martin (French part);38002
Saint Pierre and Miquelon;5821
Saint Vincent and the Grenadines;110593
Samoa;197093
San Marino;33864
Sao Tome and Principe;215048
Saudi Arabia;34268529
Senegal;16296362
Serbia;8772228
Seychelles;97741
Shanghai Cooperation Organization (SCO);3229909042
Sierra Leone;7813207
Singapore;5804343
Sint Maarten (Dutch part);42389
Slovakia;5457012
Slovenia;2078654
Small Island Developing States (SIDS);71428827
Solomon Islands;669821
Somalia;15442906
South Africa;58558267
South America;427199425
South Asian Association for Regional Cooperation (SAARC);1835297503
South Sudan;11062114
South-Eastern Asia;662011846
Southern Africa;66629894
Southern African Development Community (SADC);353940129
Southern Asia;1918211396
Southern Common Market (MERCOSUR);306365495
Southern Europe;152447
Spain;46736782
Sri Lanka;21323734
State of Palestine;4981422
Sub-Saharan Africa;1066283411
Sudan;42813237
Suriname;581363
Sweden;10036391
Switzerland;8591361
Syrian Arab Republic;17070132
Tajikistan;9321023
Thailand;69625581
Timor-Leste;1293
Togo;8082359
Tokelau;1
Tonga;104497
Trinidad and Tobago;1394969
Tunisia;11694721
Turkey;83429607
Turkmenistan;5942094
Turks and Caicos Islands;38194
Tuvalu;11655
UN-ECE: member countries;1296680593
UNFPA Regions;6358800278
UNFPA: Arab States (AS);370070433
UNFPA: Asia and the Pacific (AP);4047949107
UNFPA: East and Southern Africa (ESA);601481415
UNFPA: Eastern Europe and Central Asia (EECA);248170834
UNFPA: Latin America and the Caribbean (LAC);644001843
UNFPA: West and Central Africa (WCA);447126646
UNICEF PROGRAMME REGIONS;6440543873
UNICEF Programme Regions: East Asia and Pacific (EAPRO);2129737711
UNICEF Programme Regions: Eastern Caribbean;2397227
UNICEF Programme Regions: Eastern and Southern Africa (ESARO);528864083
UNICEF Programme Regions: Europe and Central Asia (CEECIS);279293796
UNICEF Programme Regions: Latin America;640775552
UNICEF Programme Regions: Latin America and Caribbean (LACRO);643172779
UNICEF Programme Regions: Middle East and North Africa (MENARO);490260787
UNICEF Programme Regions: South Asia (ROSA);1835297503
UNICEF Programme Regions: West and Central Africa (WCARO);533917214
UNICEF REGIONS;7713468205
UNICEF Regions: East Asia and Pacific;2376751014
UNICEF Regions: Eastern Europe and Central Asia;425166056
UNICEF Regions: Eastern and Southern Africa;575173373
UNICEF Regions: Europe and Central Asia;922025316
UNICEF Regions: Latin America and Caribbean;648120956
UNICEF Regions: Middle East and North Africa;455575824
UNICEF Regions: North America;366600944
UNICEF Regions: South Asia;1835297503
UNICEF Regions: Sub-Saharan Africa;1109096648
UNICEF Regions: West and Central Africa;533923275
UNICEF Regions: Western Europe;496859
UNITED NATIONS Regional Groups of Member States;7707903418
Uganda;44269587
Ukraine;43993643
United Arab Emirates;9770526
United Kingdom;67530161
United Kingdom (and dependencies);68045699
United Nations Economic Commission for Africa (UN-ECA);1306320572
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC);648117584
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions;4590692
United Nations Member States;7707904
United Republic of Tanzania;58005461
United States Virgin Islands;104579
United States of America;329064917
United States of America (and dependencies);332383
Upper-middle-income countries;2638958
Uruguay;3461731
Uzbekistan;32981715
Vanuatu;299882
Venezuela (Bolivarian Republic of);28515829
Viet Nam;96462108
WB region: East Asia and Pacific (excluding high income);2129754531
WB region: Europe and Central Asia (excluding high income);421035757
WB region: Latin America and Caribbean (excluding high income);569811869
WB region: Middle East and North Africa (excluding high income);389753191
WB region: South Asia (excluding high income);1835297503
WB region: Sub-Saharan Africa (excluding high income);1106864204
WHO Regions;7668888226
WHO: African region (AFRO);1091758856
WHO: Americas (AMRO);1009950
WHO: Eastern Mediterranean Region (EMRO);712276291
WHO: European Region (EURO);930166618
WHO: South-East Asia region (SEARO);2001946277
WHO: Western Pacific region (WPRO);1922790054
Wallis and Futuna Islands;11436
West African Economic and Monetary Union (UEMOA);127107468
Western Africa;391440147
Western Asia;275324793
Western Europe;195522412
Western European and Others Group (WEOG);919088423
Western Sahara;582458
World;7713468205
World Bank Regional Groups (developing only);6452517055
Yemen;29161922
Zambia;17861034
Zimbabwe;14645473
